sample_accession	run_accession	library_layout
SRS2166320	SRR5508658	SINGLE
SRS2166326	SRR5508665	SINGLE
SRS2166328	SRR5508666	SINGLE
SRS2166334	SRR5508671	SINGLE
SRS2166345	SRR5508684	SINGLE
SRS2166349	SRR5508689	SINGLE
SRS2166360	SRR5508700	SINGLE
SRS2166381	SRR5508718	SINGLE
SRS2166416	SRR5508755	SINGLE
SRS2166418	SRR5508756	SINGLE
SRS2166424	SRR5508762	SINGLE
SRS2166433	SRR5508770	SINGLE
SRS2166432	SRR5508771	SINGLE
SRS2166473	SRR5508813	SINGLE
SRS2166486	SRR5508825	SINGLE
SRS2166490	SRR5508829	SINGLE
SRS2166508	SRR5508846	SINGLE
SRS2166667	SRR5508858	SINGLE
SRS2166770	SRR5508862	SINGLE
SRS2166670	SRR5508863	SINGLE
SRS2166686	SRR5508882	SINGLE
SRS2166704	SRR5508898	SINGLE
SRS2166721	SRR5508916	SINGLE
SRS2166723	SRR5508919	SINGLE
SRS2166749	SRR5508944	SINGLE
SRS2166768	SRR5508962	SINGLE
SRS2166784	SRR5508979	SINGLE
SRS2166796	SRR5508987	SINGLE
SRS2166814	SRR5509009	SINGLE
SRS2166816	SRR5509012	SINGLE
SRS2166827	SRR5509024	SINGLE
SRS2166840	SRR5509033	SINGLE
SRS2166847	SRR5509042	SINGLE
SRS2166856	SRR5509050	SINGLE
SRS2166866	SRR5509060	SINGLE
SRS2166869	SRR5509062	SINGLE
SRS2166903	SRR5509064	SINGLE
SRS2166874	SRR5509065	SINGLE
SRS2166918	SRR5509070	SINGLE
SRS2166881	SRR5509078	SINGLE
SRS2166886	SRR5509080	SINGLE
SRS2166887	SRR5509082	SINGLE
SRS2166888	SRR5509084	SINGLE
SRS2166891	SRR5509088	SINGLE
SRS2166896	SRR5509093	SINGLE
SRS2166914	SRR5509108	SINGLE
SRS2166943	SRR5509138	SINGLE
SRS2166954	SRR5509149	SINGLE
SRS3106643	SRR6916791	PAIRED
SRS3106645	SRR6916793	PAIRED
SRS3106649	SRR6916797	PAIRED
SRS3106652	SRR6916800	PAIRED
SRS3106660	SRR6916808	PAIRED
SRS3106663	SRR6916811	PAIRED
SRS3106667	SRR6916815	PAIRED
SRS3106671	SRR6916819	PAIRED
SRS3106672	SRR6916820	PAIRED
SRS3106686	SRR6916834	PAIRED
SRS3106692	SRR6916840	PAIRED
SRS3106697	SRR6916845	PAIRED
SRS3106708	SRR6916856	PAIRED
SRS3371552	SRR7254616	SINGLE
SRS3669098	SRR7692555	PAIRED
SRS3675014	SRR7699810	PAIRED
SRS3675023	SRR7699819	PAIRED
SRS3675036	SRR7699830	PAIRED
SRS3675056	SRR7699852	PAIRED
SRS3675061	SRR7699857	PAIRED
SRS3675062	SRR7699858	PAIRED
