sample_accession	run_accession	library_layout
SRS3732342	SRR7776202	SINGLE
SRS3732345	SRR7776205	SINGLE
SRS3732348	SRR7776207	SINGLE
SRS3732347	SRR7776209	SINGLE
SRS3732354	SRR7776214	SINGLE
SRS3732355	SRR7776215	SINGLE
SRS3732356	SRR7776216	SINGLE
SRS3732360	SRR7776220	SINGLE
SRS3732364	SRR7776224	SINGLE
SRS3732366	SRR7776226	SINGLE
SRS3732368	SRR7776228	SINGLE
SRS3732371	SRR7776230	SINGLE
SRS3732382	SRR7776242	SINGLE
SRS3732387	SRR7776245	SINGLE
SRS3732400	SRR7776258	SINGLE
SRS3732402	SRR7776260	SINGLE
SRS3732416	SRR7776273	SINGLE
SRS3732426	SRR7776284	SINGLE
SRS3732427	SRR7776286	SINGLE
SRS3732435	SRR7776291	SINGLE
SRS3732445	SRR7776303	SINGLE
SRS3732449	SRR7776306	SINGLE
SRS3732459	SRR7776317	SINGLE
SRS3732460	SRR7776319	SINGLE
SRS3732465	SRR7776323	SINGLE
SRS3732470	SRR7776328	SINGLE
SRS3732473	SRR7776333	SINGLE
SRS3732479	SRR7776340	SINGLE
SRS3732487	SRR7776347	SINGLE
SRS3732495	SRR7776350	SINGLE
SRS3732503	SRR7776359	SINGLE
SRS3732505	SRR7776361	SINGLE
SRS3732508	SRR7776367	SINGLE
SRS3732510	SRR7776368	SINGLE
SRS3732511	SRR7776369	SINGLE
SRS3732523	SRR7776381	SINGLE
SRS3732529	SRR7776389	SINGLE
SRS3732535	SRR7776394	SINGLE
SRS3732533	SRR7776395	SINGLE
SRS3732542	SRR7776398	SINGLE
SRS3732562	SRR7776422	SINGLE
SRS3732570	SRR7776430	SINGLE
SRS3732573	SRR7776432	SINGLE
SRS3732578	SRR7776438	SINGLE
SRS3732590	SRR7776450	SINGLE
SRS3732593	SRR7776452	SINGLE
SRS3732591	SRR7776453	SINGLE
SRS3732597	SRR7776457	SINGLE
SRS3732600	SRR7776459	SINGLE
SRS3732603	SRR7776463	SINGLE
SRS3732609	SRR7776469	SINGLE
SRS3732620	SRR7776481	SINGLE
SRS3732651	SRR7776512	SINGLE
SRS3732653	SRR7776514	SINGLE
SRS3732673	SRR7776535	SINGLE
SRS3732694	SRR7776552	SINGLE
SRS3732700	SRR7776558	SINGLE
SRS3732710	SRR7776568	SINGLE
SRS3732753	SRR7776611	SINGLE
SRS3732760	SRR7776619	SINGLE
SRS3732763	SRR7776622	SINGLE
SRS3732766	SRR7776624	SINGLE
SRS3732765	SRR7776625	SINGLE
SRS3732767	SRR7776627	SINGLE
SRS3732771	SRR7776631	SINGLE
SRS3732776	SRR7776633	SINGLE
SRS3732777	SRR7776636	SINGLE
SRS3732780	SRR7776638	SINGLE
SRS3732798	SRR7776656	SINGLE
SRS3732799	SRR7776657	SINGLE
SRS3732801	SRR7776659	SINGLE
SRS3732805	SRR7776667	SINGLE
SRS3732810	SRR7776669	SINGLE
SRS3732812	SRR7776671	SINGLE
SRS3732837	SRR7776697	SINGLE
SRS3732847	SRR7776707	SINGLE
SRS3732848	SRR7776708	SINGLE
SRS3732861	SRR7776719	SINGLE
SRS3732875	SRR7776737	SINGLE
SRS3732885	SRR7776746	SINGLE
SRS3732904	SRR7776765	SINGLE
SRS3732912	SRR7776772	SINGLE
SRS3732911	SRR7776773	SINGLE
SRS3732919	SRR7776781	SINGLE
SRS3732941	SRR7776802	SINGLE
SRS3732948	SRR7776810	SINGLE
SRS3732960	SRR7776821	SINGLE
SRS3770539	SRR7825696	PAIRED
SRS3770561	SRR7825720	PAIRED
SRS3770573	SRR7825731	PAIRED
SRS3770578	SRR7825736	PAIRED
SRS3770599	SRR7825757	PAIRED
SRS3770602	SRR7825760	PAIRED
SRS4715844	SRR9004350	PAIRED
SRS4715844	SRR9004347	PAIRED
SRS4715844	SRR9004351	PAIRED
SRS4715844	SRR9004346	PAIRED
SRS4715844	SRR9004345	PAIRED
SRS4715844	SRR9004343	PAIRED
SRS4715844	SRR9004353	PAIRED
SRS4715844	SRR9004341	PAIRED
SRS4715844	SRR9004342	PAIRED
SRS4715844	SRR9004349	PAIRED
SRS4715844	SRR9004356	PAIRED
SRS4715844	SRR9004355	PAIRED
SRS4715844	SRR9004348	PAIRED
SRS4715844	SRR9004354	PAIRED
SRS4715844	SRR9004344	PAIRED
SRS4715844	SRR9004352	PAIRED
SRS4715840	SRR9004374	PAIRED
SRS4715840	SRR9004382	PAIRED
SRS4715840	SRR9004384	PAIRED
SRS4715840	SRR9004387	PAIRED
SRS4715840	SRR9004386	PAIRED
SRS4715840	SRR9004380	PAIRED
SRS4715840	SRR9004376	PAIRED
SRS4715840	SRR9004378	PAIRED
SRS4715840	SRR9004388	PAIRED
SRS4715840	SRR9004373	PAIRED
SRS4715840	SRR9004379	PAIRED
SRS4715840	SRR9004377	PAIRED
SRS4715840	SRR9004375	PAIRED
SRS4715840	SRR9004381	PAIRED
SRS4715840	SRR9004383	PAIRED
SRS4715840	SRR9004385	PAIRED
SRS1397491	SRR3375538	SINGLE
SRS1397488	SRR3375541	SINGLE
SRS1397483	SRR3375546	SINGLE
SRS1397478	SRR3375550	SINGLE
SRS1397479	SRR3375551	SINGLE
SRS1397473	SRR3375556	SINGLE
SRS1397451	SRR3375578	SINGLE
SRS1397449	SRR3375580	SINGLE
SRS1397435	SRR3375595	SINGLE
SRS1397433	SRR3375596	SINGLE
SRS1397414	SRR3375616	SINGLE
SRS1397405	SRR3375624	SINGLE
SRS1397393	SRR3375636	SINGLE
SRS1397390	SRR3375639	SINGLE
SRS1397385	SRR3375643	SINGLE
SRS1397381	SRR3375647	SINGLE
SRS1397375	SRR3375654	SINGLE
SRS1397348	SRR3375702	SINGLE
SRS1397333	SRR3375731	SINGLE
SRS1397322	SRR3375753	SINGLE
SRS1397319	SRR3375758	SINGLE
SRS1397309	SRR3375776	SINGLE
SRS1397295	SRR3375798	SINGLE
SRS1397280	SRR3375813	SINGLE
SRS1397268	SRR3375825	SINGLE
SRS1397265	SRR3375828	SINGLE
SRS1397251	SRR3375842	SINGLE
SRS1397237	SRR3375856	SINGLE
SRS1397232	SRR3375861	SINGLE
SRS1397196	SRR3375862	SINGLE
SRS1397195	SRR3375863	SINGLE
SRS1467276	SRR3587546	SINGLE
SRS1467292	SRR3587561	SINGLE
SRS1467294	SRR3587563	SINGLE
SRS1467296	SRR3587565	SINGLE
SRS1467310	SRR3587579	SINGLE
SRS1467318	SRR3587587	SINGLE
SRS1467328	SRR3587597	SINGLE
SRS1467335	SRR3587604	SINGLE
SRS1467348	SRR3587617	SINGLE
SRS1467352	SRR3587622	SINGLE
SRS1467359	SRR3587628	SINGLE
SRS1467361	SRR3587630	SINGLE
SRS1467366	SRR3587635	SINGLE
SRS1467374	SRR3587643	SINGLE
SRS1467381	SRR3587649	SINGLE
SRS1467397	SRR3587666	SINGLE
SRS1467402	SRR3587672	SINGLE
SRS1467432	SRR3587702	SINGLE
SRS1467434	SRR3587703	SINGLE
SRS1467442	SRR3587711	SINGLE
SRS1467460	SRR3587730	SINGLE
SRS1467464	SRR3587733	SINGLE
SRS1467490	SRR3587759	SINGLE
SRS1467539	SRR3587809	SINGLE
SRS1467543	SRR3587812	SINGLE
SRS1467551	SRR3587820	SINGLE
SRS1467552	SRR3587821	SINGLE
SRS1467569	SRR3587838	SINGLE
SRS1467576	SRR3587845	SINGLE
SRS1467594	SRR3587863	SINGLE
SRS1467610	SRR3587879	SINGLE
SRS1467611	SRR3587881	SINGLE
SRS1467619	SRR3587888	SINGLE
SRS1467626	SRR3587895	SINGLE
SRS1467628	SRR3587897	SINGLE
SRS1467629	SRR3587898	SINGLE
SRS1467250	SRR3587501	PAIRED
SRS2166284	SRR5508622	SINGLE
SRS2166301	SRR5508625	SINGLE
SRS2166290	SRR5508630	SINGLE
SRS2166305	SRR5508642	SINGLE
SRS2166319	SRR5508649	SINGLE
SRS2166315	SRR5508654	SINGLE
SRS2166318	SRR5508657	SINGLE
SRS2166323	SRR5508661	SINGLE
SRS2166324	SRR5508662	SINGLE
SRS2166347	SRR5508687	SINGLE
SRS2166358	SRR5508699	SINGLE
SRS2166361	SRR5508701	SINGLE
SRS2166370	SRR5508709	SINGLE
SRS2166373	SRR5508713	SINGLE
SRS2166376	SRR5508714	SINGLE
SRS2166380	SRR5508719	SINGLE
SRS2166387	SRR5508725	SINGLE
SRS2166396	SRR5508735	SINGLE
SRS2166431	SRR5508769	SINGLE
SRS2166437	SRR5508775	SINGLE
SRS2166445	SRR5508784	SINGLE
SRS2166472	SRR5508810	SINGLE
SRS2166475	SRR5508815	SINGLE
SRS2166494	SRR5508831	SINGLE
SRS2166491	SRR5508832	SINGLE
SRS2166495	SRR5508834	SINGLE
SRS2166504	SRR5508842	SINGLE
SRS2166503	SRR5508844	SINGLE
SRS2166512	SRR5508850	SINGLE
SRS2166668	SRR5508860	SINGLE
SRS2166687	SRR5508883	SINGLE
SRS2166693	SRR5508889	SINGLE
SRS2166698	SRR5508892	SINGLE
SRS2166701	SRR5508894	SINGLE
SRS2166713	SRR5508910	SINGLE
SRS2166725	SRR5508917	SINGLE
SRS2166720	SRR5508918	SINGLE
SRS2166724	SRR5508920	SINGLE
SRS2166739	SRR5508935	SINGLE
SRS2166755	SRR5508951	SINGLE
SRS2166757	SRR5508952	SINGLE
SRS2166760	SRR5508955	SINGLE
SRS2166766	SRR5508960	SINGLE
SRS2166781	SRR5508975	SINGLE
SRS2166787	SRR5508982	SINGLE
SRS2166791	SRR5508985	SINGLE
SRS2166790	SRR5508986	SINGLE
SRS2166801	SRR5508997	SINGLE
SRS2166820	SRR5509013	SINGLE
SRS2166821	SRR5509017	SINGLE
SRS2166822	SRR5509018	SINGLE
SRS2166832	SRR5509026	SINGLE
SRS2166841	SRR5509034	SINGLE
SRS2166852	SRR5509047	SINGLE
SRS2166855	SRR5509048	SINGLE
SRS2166876	SRR5509072	SINGLE
SRS2166957	SRR5509085	SINGLE
SRS2166909	SRR5509099	SINGLE
SRS2166911	SRR5509106	SINGLE
SRS2166916	SRR5509109	SINGLE
SRS2166944	SRR5509140	SINGLE
SRS2166949	SRR5509144	SINGLE
SRS2166950	SRR5509145	SINGLE
SRS3106629	SRR6916777	PAIRED
SRS3106634	SRR6916782	PAIRED
SRS3106635	SRR6916783	PAIRED
SRS3106636	SRR6916784	PAIRED
SRS3106637	SRR6916785	PAIRED
SRS3106653	SRR6916801	PAIRED
SRS3106654	SRR6916802	PAIRED
SRS3106676	SRR6916824	PAIRED
SRS3106695	SRR6916843	PAIRED
SRS3371555	SRR7254619	SINGLE
SRS3371556	SRR7254620	SINGLE
SRS3371557	SRR7254621	SINGLE
SRS3384790	SRR7269504	PAIRED
SRS3669087	SRR7692544	PAIRED
SRS3669089	SRR7692546	PAIRED
SRS3669093	SRR7692550	PAIRED
SRS3669097	SRR7692554	PAIRED
SRS3674978	SRR7699771	PAIRED
SRS3674977	SRR7699775	PAIRED
SRS3674988	SRR7699776	PAIRED
SRS3674979	SRR7699777	PAIRED
SRS3674981	SRR7699779	PAIRED
SRS3674984	SRR7699781	PAIRED
SRS3674991	SRR7699787	PAIRED
SRS3675016	SRR7699812	PAIRED
SRS3675017	SRR7699813	PAIRED
SRS3675029	SRR7699826	PAIRED
SRS3675052	SRR7699847	PAIRED
SRS3675057	SRR7699854	PAIRED
SRS3675063	SRR7699860	PAIRED
SRS3675081	SRR7699879	PAIRED
SRS3675100	SRR7699899	PAIRED
SRS3675111	SRR7699909	PAIRED
SRS3675113	SRR7699911	PAIRED
SRS3675116	SRR7699913	PAIRED
SRS3675133	SRR7699930	PAIRED
SRS3675135	SRR7699932	PAIRED
SRS3675149	SRR7699945	PAIRED
SRS3675148	SRR7699946	PAIRED
SRS3675182	SRR7699976	PAIRED
SRS3675185	SRR7699981	PAIRED
SRS3675190	SRR7699984	PAIRED
SRS3675192	SRR7699987	PAIRED
SRS3675201	SRR7699996	PAIRED
SRS3675204	SRR7700000	PAIRED
SRS3675235	SRR7700030	PAIRED
SRS3675241	SRR7700035	PAIRED
SRS3675262	SRR7700056	PAIRED
SRS3675282	SRR7700075	PAIRED
SRS3675283	SRR7700077	PAIRED
SRS3675294	SRR7700090	PAIRED
SRS3675296	SRR7700091	PAIRED
SRS3675309	SRR7700105	PAIRED
SRS3675321	SRR7700114	PAIRED
SRS3675337	SRR7700133	PAIRED
SRS3675353	SRR7700151	PAIRED
SRS3675369	SRR7700166	PAIRED
SRS3675370	SRR7700167	PAIRED
SRS3675406	SRR7700204	PAIRED
SRS3675408	SRR7700205	PAIRED
SRS3675417	SRR7700214	PAIRED
SRS3675429	SRR7700225	PAIRED
SRS3675437	SRR7700232	PAIRED
SRS3675469	SRR7700265	PAIRED
SRS3675472	SRR7700267	PAIRED
SRS3675480	SRR7700277	PAIRED
SRS3675510	SRR7700305	PAIRED
SRS3675513	SRR7700309	PAIRED
SRS3675517	SRR7700313	PAIRED
SRS3675520	SRR7700314	PAIRED
SRS3675519	SRR7700316	PAIRED
SRS3675523	SRR7700319	PAIRED
SRS3675530	SRR7700325	PAIRED
SRS3675532	SRR7700326	PAIRED
SRS3675528	SRR7700327	PAIRED
SRS3675553	SRR7700346	PAIRED
SRS3675551	SRR7700350	PAIRED
SRS3675557	SRR7700354	PAIRED
SRS3675560	SRR7700361	PAIRED
SRS3675569	SRR7700367	PAIRED
SRS3675572	SRR7700370	PAIRED
SRS3675584	SRR7700384	PAIRED
SRS3675586	SRR7700385	PAIRED
SRS3675588	SRR7700388	PAIRED
SRS3675606	SRR7700405	PAIRED
SRS3675612	SRR7700412	PAIRED
SRS3675615	SRR7700413	PAIRED
SRS3675622	SRR7700420	PAIRED
SRS3675631	SRR7700431	PAIRED
SRS3675635	SRR7700434	PAIRED
SRS3675646	SRR7700446	PAIRED
SRS3675653	SRR7700453	PAIRED
SRS3675658	SRR7700457	PAIRED
SRS3675661	SRR7700460	PAIRED
SRS3675662	SRR7700461	PAIRED
SRS3675676	SRR7700476	PAIRED
SRS3675688	SRR7700486	PAIRED
SRS3675708	SRR7700507	PAIRED
SRS3675718	SRR7700518	PAIRED
SRS3675734	SRR7700532	PAIRED
SRS3675738	SRR7700536	PAIRED
SRS3675746	SRR7700547	PAIRED
SRS3675745	SRR7700548	PAIRED
SRS3675750	SRR7700552	PAIRED
SRS3675754	SRR7700558	PAIRED
SRS3675768	SRR7700566	PAIRED
SRS3675779	SRR7700578	PAIRED
SRS3675782	SRR7700581	PAIRED
SRS3675798	SRR7700595	PAIRED
SRS3675807	SRR7700605	PAIRED
SRS3675823	SRR7700621	PAIRED
SRS3675843	SRR7700639	PAIRED
SRS3675849	SRR7700647	PAIRED
SRS3698218	SRR7733529	PAIRED
SRS3698219	SRR7733531	PAIRED
SRS3698227	SRR7733538	PAIRED
SRS3729711	SRR7773397	SINGLE
SRS3729720	SRR7773406	SINGLE
SRS3729725	SRR7773411	SINGLE
SRS3729730	SRR7773416	SINGLE
SRS3731660	SRR7775518	SINGLE
SRS3731664	SRR7775522	SINGLE
SRS3731675	SRR7775533	SINGLE
SRS3731677	SRR7775535	SINGLE
SRS3731686	SRR7775545	SINGLE
SRS3731732	SRR7775590	SINGLE
SRS3731742	SRR7775600	SINGLE
SRS3731748	SRR7775606	SINGLE
SRS3731750	SRR7775608	SINGLE
SRS3731755	SRR7775613	SINGLE
SRS3731757	SRR7775615	SINGLE
SRS3731777	SRR7775635	SINGLE
SRS3731789	SRR7775647	SINGLE
SRS3731809	SRR7775667	SINGLE
SRS3731811	SRR7775669	SINGLE
SRS3731814	SRR7775672	SINGLE
SRS3731816	SRR7775674	SINGLE
SRS3731835	SRR7775693	SINGLE
SRS3731848	SRR7775706	SINGLE
SRS3731849	SRR7775707	SINGLE
SRS3731858	SRR7775716	SINGLE
SRS3731862	SRR7775720	SINGLE
SRS3731871	SRR7775729	SINGLE
SRS3731885	SRR7775744	SINGLE
SRS3731894	SRR7775752	SINGLE
SRS3731907	SRR7775766	SINGLE
SRS3731910	SRR7775768	SINGLE
SRS3731918	SRR7775776	SINGLE
SRS3731934	SRR7775794	SINGLE
SRS3731963	SRR7775822	SINGLE
SRS3731970	SRR7775829	SINGLE
SRS3731973	SRR7775832	SINGLE
SRS3731986	SRR7775845	SINGLE
SRS3731990	SRR7775849	SINGLE
SRS3731991	SRR7775850	SINGLE
SRS3732034	SRR7775895	SINGLE
SRS3732050	SRR7775910	SINGLE
SRS3732060	SRR7775919	SINGLE
SRS3732095	SRR7775954	SINGLE
SRS3732113	SRR7775971	SINGLE
SRS3732116	SRR7775977	SINGLE
SRS3732129	SRR7775985	SINGLE
SRS3732140	SRR7775995	SINGLE
SRS3732196	SRR7776053	SINGLE
SRS3732203	SRR7776062	SINGLE
SRS3732232	SRR7776092	SINGLE
SRS3732240	SRR7776099	SINGLE
SRS3732282	SRR7776142	SINGLE
SRS3732290	SRR7776150	SINGLE
SRS3732298	SRR7776157	SINGLE
SRS3732310	SRR7776170	SINGLE
SRS3732335	SRR7776194	SINGLE
SRS3732362	SRR7776221	SINGLE
SRS3732381	SRR7776239	SINGLE
SRS3732388	SRR7776246	SINGLE
SRS3732397	SRR7776255	SINGLE
SRS3732410	SRR7776268	SINGLE
SRS3732411	SRR7776270	SINGLE
SRS3732446	SRR7776305	SINGLE
SRS3732448	SRR7776307	SINGLE
SRS3732474	SRR7776330	SINGLE
SRS3732476	SRR7776334	SINGLE
SRS3732481	SRR7776336	SINGLE
SRS3732515	SRR7776374	SINGLE
SRS3732516	SRR7776375	SINGLE
SRS3732534	SRR7776393	SINGLE
SRS3732582	SRR7776442	SINGLE
SRS3732585	SRR7776445	SINGLE
SRS3732592	SRR7776451	SINGLE
SRS3732604	SRR7776464	SINGLE
SRS3732621	SRR7776482	SINGLE
SRS3732631	SRR7776492	SINGLE
SRS3732664	SRR7776524	SINGLE
SRS3732666	SRR7776526	SINGLE
SRS3732667	SRR7776527	SINGLE
SRS3732675	SRR7776534	SINGLE
SRS3732676	SRR7776536	SINGLE
SRS3732705	SRR7776564	SINGLE
SRS3732708	SRR7776569	SINGLE
SRS3732714	SRR7776573	SINGLE
SRS3732723	SRR7776582	SINGLE
SRS3732731	SRR7776589	SINGLE
SRS3732732	SRR7776591	SINGLE
SRS3732738	SRR7776597	SINGLE
SRS3732741	SRR7776598	SINGLE
SRS3732746	SRR7776605	SINGLE
SRS3732779	SRR7776639	SINGLE
SRS3732785	SRR7776644	SINGLE
SRS3732786	SRR7776645	SINGLE
SRS3732788	SRR7776647	SINGLE
SRS3732792	SRR7776650	SINGLE
SRS3732809	SRR7776668	SINGLE
SRS3732822	SRR7776681	SINGLE
SRS3732827	SRR7776686	SINGLE
SRS3732825	SRR7776687	SINGLE
SRS3732846	SRR7776706	SINGLE
SRS3732852	SRR7776711	SINGLE
SRS3732865	SRR7776726	SINGLE
SRS3732866	SRR7776727	SINGLE
SRS3732868	SRR7776729	SINGLE
SRS3732871	SRR7776732	SINGLE
SRS3732873	SRR7776734	SINGLE
SRS3732881	SRR7776741	SINGLE
SRS3732887	SRR7776749	SINGLE
SRS3732893	SRR7776753	SINGLE
SRS3732901	SRR7776761	SINGLE
SRS3732924	SRR7776787	SINGLE
SRS3732938	SRR7776799	SINGLE
SRS3732945	SRR7776806	SINGLE
SRS3732951	SRR7776812	SINGLE
SRS3770546	SRR7825704	PAIRED
SRS3770547	SRR7825705	PAIRED
SRS3770571	SRR7825729	PAIRED
SRS3770575	SRR7825733	PAIRED
SRS3770583	SRR7825741	PAIRED
SRS3770586	SRR7825744	PAIRED
SRS3770591	SRR7825748	PAIRED
SRS3770604	SRR7825761	PAIRED
SRS3770613	SRR7825770	PAIRED
SRS4386075	SRR8599150	PAIRED
SRS1397509	SRR3375520	SINGLE
SRS1397501	SRR3375530	SINGLE
SRS1397481	SRR3375548	SINGLE
SRS1397469	SRR3375559	SINGLE
SRS1397462	SRR3375567	SINGLE
SRS1397461	SRR3375568	SINGLE
SRS1397456	SRR3375572	SINGLE
SRS1397453	SRR3375576	SINGLE
SRS1397443	SRR3375586	SINGLE
SRS1397413	SRR3375615	SINGLE
SRS1397404	SRR3375625	SINGLE
SRS1397395	SRR3375634	SINGLE
SRS1397389	SRR3375640	SINGLE
SRS1397380	SRR3375649	SINGLE
SRS1397365	SRR3375670	SINGLE
SRS1397357	SRR3375685	SINGLE
SRS1397356	SRR3375687	SINGLE
SRS1397352	SRR3375693	SINGLE
SRS1397336	SRR3375729	SINGLE
SRS1397326	SRR3375745	SINGLE
SRS1397325	SRR3375747	SINGLE
SRS1397320	SRR3375756	SINGLE
SRS1397314	SRR3375768	SINGLE
SRS1397302	SRR3375790	SINGLE
SRS1397300	SRR3375793	SINGLE
SRS1397299	SRR3375794	SINGLE
SRS1397281	SRR3375812	SINGLE
SRS1397264	SRR3375829	SINGLE
SRS1397252	SRR3375841	SINGLE
SRS1397247	SRR3375846	SINGLE
SRS1397241	SRR3375852	SINGLE
SRS1397238	SRR3375855	SINGLE
SRS1397184	SRR3375874	SINGLE
SRS1467265	SRR3587535	SINGLE
SRS1467268	SRR3587538	SINGLE
SRS1467281	SRR3587551	SINGLE
SRS1467297	SRR3587566	SINGLE
SRS1467301	SRR3587570	SINGLE
SRS1467309	SRR3587578	SINGLE
SRS1467333	SRR3587602	SINGLE
SRS1467344	SRR3587613	SINGLE
SRS1467353	SRR3587623	SINGLE
SRS1467360	SRR3587629	SINGLE
SRS1467368	SRR3587638	SINGLE
SRS1467383	SRR3587653	SINGLE
SRS1467389	SRR3587659	SINGLE
SRS1467407	SRR3587676	SINGLE
SRS1467409	SRR3587679	SINGLE
SRS1467443	SRR3587713	SINGLE
SRS1467445	SRR3587714	SINGLE
SRS1467453	SRR3587723	SINGLE
SRS1467463	SRR3587732	SINGLE
SRS1467469	SRR3587738	SINGLE
SRS1467475	SRR3587744	SINGLE
SRS1467499	SRR3587769	SINGLE
SRS1467503	SRR3587772	SINGLE
SRS1467508	SRR3587777	SINGLE
SRS1467541	SRR3587810	SINGLE
SRS1467547	SRR3587816	SINGLE
SRS1467548	SRR3587817	SINGLE
SRS1467562	SRR3587831	SINGLE
SRS1467572	SRR3587841	SINGLE
SRS1467574	SRR3587842	SINGLE
SRS1467575	SRR3587844	SINGLE
SRS1467591	SRR3587860	SINGLE
SRS1467595	SRR3587864	SINGLE
SRS1467596	SRR3587865	SINGLE
SRS1467614	SRR3587883	SINGLE
SRS1467620	SRR3587889	SINGLE
SRS1467623	SRR3587892	SINGLE
SRS1467630	SRR3587899	SINGLE
SRS1467249	SRR3587500	PAIRED
SRS2166281	SRR5508619	SINGLE
SRS2166282	SRR5508620	SINGLE
SRS2166285	SRR5508623	SINGLE
SRS2166288	SRR5508627	SINGLE
SRS2166300	SRR5508639	SINGLE
SRS2166304	SRR5508643	SINGLE
SRS2166311	SRR5508650	SINGLE
SRS2166316	SRR5508655	SINGLE
SRS2166321	SRR5508659	SINGLE
SRS2166329	SRR5508667	SINGLE
SRS2166332	SRR5508670	SINGLE
SRS2166368	SRR5508707	SINGLE
SRS2166371	SRR5508710	SINGLE
SRS2166395	SRR5508734	SINGLE
SRS2166407	SRR5508747	SINGLE
SRS2166420	SRR5508758	SINGLE
SRS2166427	SRR5508765	SINGLE
SRS2166439	SRR5508776	SINGLE
SRS2166477	SRR5508816	SINGLE
SRS2166487	SRR5508827	SINGLE
SRS2166493	SRR5508833	SINGLE
SRS2166497	SRR5508835	SINGLE
SRS2166511	SRR5508848	SINGLE
SRS2166671	SRR5508865	SINGLE
SRS2166682	SRR5508875	SINGLE
SRS2166690	SRR5508885	SINGLE
SRS2166719	SRR5508915	SINGLE
SRS2166777	SRR5508924	SINGLE
SRS2166730	SRR5508926	SINGLE
SRS2166737	SRR5508932	SINGLE
SRS2166743	SRR5508937	SINGLE
SRS2166744	SRR5508939	SINGLE
SRS2166745	SRR5508941	SINGLE
SRS2166761	SRR5508956	SINGLE
SRS2166782	SRR5508977	SINGLE
SRS2166809	SRR5509005	SINGLE
SRS2166810	SRR5509008	SINGLE
SRS2166834	SRR5509028	SINGLE
SRS2166844	SRR5509038	SINGLE
SRS2166857	SRR5509051	SINGLE
SRS2166859	SRR5509052	SINGLE
SRS2166861	SRR5509056	SINGLE
SRS2166865	SRR5509059	SINGLE
SRS2166873	SRR5509063	SINGLE
SRS2166879	SRR5509071	SINGLE
SRS2166882	SRR5509077	SINGLE
SRS2166958	SRR5509122	SINGLE
SRS2166936	SRR5509133	SINGLE
SRS2166952	SRR5509148	SINGLE
SRS3106640	SRR6916788	PAIRED
SRS3106641	SRR6916789	PAIRED
SRS3106647	SRR6916795	PAIRED
SRS3106656	SRR6916804	PAIRED
SRS3106658	SRR6916806	PAIRED
SRS3106662	SRR6916810	PAIRED
SRS3106691	SRR6916839	PAIRED
SRS3106698	SRR6916846	PAIRED
SRS3106713	SRR6916861	PAIRED
SRS3106714	SRR6916862	PAIRED
SRS3106720	SRR6916868	PAIRED
SRS3371553	SRR7254617	SINGLE
SRS3371554	SRR7254618	SINGLE
SRS3371560	SRR7254624	SINGLE
SRS3669095	SRR7692551	PAIRED
SRS3669103	SRR7692559	PAIRED
SRS3669107	SRR7692561	PAIRED
SRS3674980	SRR7699778	PAIRED
SRS3674995	SRR7699790	PAIRED
SRS3675019	SRR7699815	PAIRED
SRS3675030	SRR7699827	PAIRED
SRS3675033	SRR7699829	PAIRED
SRS3675043	SRR7699838	PAIRED
SRS3675042	SRR7699842	PAIRED
SRS3675050	SRR7699844	PAIRED
SRS3675053	SRR7699849	PAIRED
SRS3675060	SRR7699856	PAIRED
SRS3675098	SRR7699896	PAIRED
SRS3675106	SRR7699904	PAIRED
SRS3675115	SRR7699914	PAIRED
SRS3675117	SRR7699915	PAIRED
SRS3675118	SRR7699916	PAIRED
SRS3675122	SRR7699918	PAIRED
SRS3675120	SRR7699920	PAIRED
SRS3675123	SRR7699921	PAIRED
SRS3675131	SRR7699928	PAIRED
SRS3675152	SRR7699949	PAIRED
SRS3675158	SRR7699954	PAIRED
SRS3675162	SRR7699957	PAIRED
SRS3675194	SRR7699989	PAIRED
SRS3675199	SRR7699992	PAIRED
SRS3675203	SRR7699995	PAIRED
SRS3675200	SRR7699997	PAIRED
SRS3675213	SRR7700006	PAIRED
SRS3675233	SRR7700027	PAIRED
SRS3675243	SRR7700039	PAIRED
SRS3675257	SRR7700054	PAIRED
SRS3675261	SRR7700059	PAIRED
SRS3675310	SRR7700106	PAIRED
SRS3675312	SRR7700108	PAIRED
SRS3675326	SRR7700122	PAIRED
SRS3675327	SRR7700125	PAIRED
SRS3675329	SRR7700126	PAIRED
SRS3675332	SRR7700129	PAIRED
SRS3675339	SRR7700135	PAIRED
SRS3675343	SRR7700140	PAIRED
SRS3675350	SRR7700147	PAIRED
SRS3675358	SRR7700156	PAIRED
SRS3675361	SRR7700160	PAIRED
SRS3675363	SRR7700161	PAIRED
SRS3675368	SRR7700165	PAIRED
SRS3675371	SRR7700168	PAIRED
SRS3675373	SRR7700169	PAIRED
SRS3675390	SRR7700187	PAIRED
SRS3675394	SRR7700193	PAIRED
SRS3675401	SRR7700198	PAIRED
SRS3675402	SRR7700199	PAIRED
SRS3675403	SRR7700201	PAIRED
SRS3675416	SRR7700212	PAIRED
SRS3675440	SRR7700237	PAIRED
SRS3675446	SRR7700243	PAIRED
SRS3675451	SRR7700247	PAIRED
SRS3675456	SRR7700253	PAIRED
SRS3675460	SRR7700256	PAIRED
SRS3675486	SRR7700281	PAIRED
SRS3675689	SRR7700295	PAIRED
SRS3675509	SRR7700307	PAIRED
SRS3675527	SRR7700322	PAIRED
SRS3675535	SRR7700334	PAIRED
SRS3675539	SRR7700337	PAIRED
SRS3675547	SRR7700341	PAIRED
SRS3675559	SRR7700357	PAIRED
