sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote	Source	bam10x	Comment	biosample	Donor	Organ	sex	Batch	biosample_title	retina_region	strain	batch
#SRS5052455	SRR9628945	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12199957	NA	Eye	NA	NA	sample_R20_C71	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052454	SRR9628944	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12199958	NA	Eye	NA	NA	sample_R20_C69	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052453	SRR9628943	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12199959	NA	Eye	NA	NA	sample_R20_C64	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052452	SRR9628942	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12199960	NA	Eye	NA	NA	sample_R20_C62	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052451	SRR9628941	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12199961	NA	Eye	NA	NA	sample_R20_C5	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052450	SRR9628940	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12199962	NA	Eye	NA	NA	sample_R20_C59	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052449	SRR9628939	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12200026	NA	Eye	NA	NA	sample_R20_C57	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052448	SRR9628938	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12200027	NA	Eye	NA	NA	sample_R20_C56	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052447	SRR9628025	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12196315	NA	Eye	NA	NA	Per_R37_C6	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052446	SRR9628024	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12196316	NA	Eye	NA	NA	Per_R37_C55	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052445	SRR9628023	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12196317	NA	Eye	NA	NA	Per_R37_C53	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052444	SRR9628022	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12196318	NA	Eye	NA	NA	Per_R37_C51	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052443	SRR9628021	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12196319	NA	Eye	NA	NA	Per_R37_C50	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052442	SRR9628020	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12196320	NA	Eye	NA	NA	Per_R37_C32	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052441	SRR9628019	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12196321	NA	Eye	NA	NA	Per_R37_C30	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052440	SRR9628018	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12196322	NA	Eye	NA	NA	Per_R37_C29	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052439	SRR9633588	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12193483	NA	Eye	NA	NA	M_R3_C45	NA	NA	SRP212788_SCRBSeq_P2
#SRS5052438	SRR9633587	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12193484	NA	Eye	NA	NA	M_R3_C36	NA	NA	SRP212788_SCRBSeq_P2
#SRS5052437	SRR9633586	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12193485	NA	Eye	NA	NA	M_R3_C17	NA	NA	SRP212788_SCRBSeq_P2
#SRS5052436	SRR9633585	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12193486	NA	Eye	NA	NA	M_R3_C16	NA	NA	SRP212788_SCRBSeq_P2
#SRS5052435	SRR9633584	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12193487	NA	Eye	NA	NA	M_R39_C40	NA	NA	SRP212788_SCRBSeq_P2
#SRS5052434	SRR9633583	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12193488	NA	Eye	NA	NA	M_R39_C21	NA	NA	SRP212788_SCRBSeq_P2
#SRS5052433	SRR9633582	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12193489	NA	Eye	NA	NA	M_R39_C19	NA	NA	SRP212788_SCRBSeq_P2
#SRS5052432	SRR9633581	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12193490	NA	Eye	NA	NA	M_R38_C66	NA	NA	SRP212788_SCRBSeq_P2
#SRS5052431	SRR9632657	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190652	NA	Eye	NA	NA	Macular_R63_C46	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052430	SRR9632656	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190653	NA	Eye	NA	NA	Macular_R63_C45	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052429	SRR9632655	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190654	NA	Eye	NA	NA	Macular_R63_C40	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052428	SRR9632654	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190655	NA	Eye	NA	NA	Macular_R63_C39	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052427	SRR9632653	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190656	NA	Eye	NA	NA	Macular_R63_C36	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052426	SRR9632652	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190657	NA	Eye	NA	NA	Macular_R63_C2	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052425	SRR9632651	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190658	NA	Eye	NA	NA	Macular_R63_C26	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052424	SRR9632650	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190578	NA	Eye	NA	NA	Macular_R63_C24	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052423	SRR9631913	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12191043	NA	Eye	NA	NA	Macular_R3_C64	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052422	SRR9631912	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12191044	NA	Eye	NA	NA	Macular_R3_C61	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052421	SRR9631911	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12191045	NA	Eye	NA	NA	Macular_R3_C59	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052420	SRR9631910	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190951	NA	Eye	NA	NA	Macular_R3_C58	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052419	SRR9631909	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190753	NA	Eye	NA	NA	Macular_R3_C57	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052418	SRR9631908	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190754	NA	Eye	NA	NA	Macular_R3_C55	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052417	SRR9631907	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190755	NA	Eye	NA	NA	Macular_R3_C54	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052416	SRR9631906	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190756	NA	Eye	NA	NA	Macular_R3_C45	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052415	SRR9631121	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190018	NA	Eye	NA	NA	Macular_R15_C8	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052414	SRR9631120	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190019	NA	Eye	NA	NA	Macular_R15_C69	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052413	SRR9631119	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190020	NA	Eye	NA	NA	Macular_R15_C68	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052412	SRR9631118	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190021	NA	Eye	NA	NA	Macular_R15_C60	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052411	SRR9631117	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190022	NA	Eye	NA	NA	Macular_R15_C54	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052410	SRR9631116	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190023	NA	Eye	NA	NA	Macular_R15_C52	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052409	SRR9631115	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190024	NA	Eye	NA	NA	Macular_R15_C50	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052408	SRR9631114	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	P2	Tissue	NA	NA	SAMN12190025	NA	Eye	NA	NA	Macular_R15_C49	Macula	NA	SRP212788_SCRBSeq_P2
#SRS5052407	SRR9630225	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189792	NA	Eye	NA	NA	Periph_Nuc_R43_C18	Peripheral	NA	SRP212788_SCRBSeq_P1
#SRS5052406	SRR9630224	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189793	NA	Eye	NA	NA	Periph_Nuc_R43_C14	Peripheral	NA	SRP212788_SCRBSeq_P1
#SRS5052405	SRR9630223	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189794	NA	Eye	NA	NA	Periph_Nuc_R42_C66	Peripheral	NA	SRP212788_SCRBSeq_P1
#SRS5052404	SRR9630222	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189795	NA	Eye	NA	NA	Periph_Nuc_R42_C46	Peripheral	NA	SRP212788_SCRBSeq_P1
#SRS5052403	SRR9630221	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189796	NA	Eye	NA	NA	Periph_Nuc_R42_C41	Peripheral	NA	SRP212788_SCRBSeq_P1
#SRS5052402	SRR9630220	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189797	NA	Eye	NA	NA	Periph_Nuc_R42_C37	Peripheral	NA	SRP212788_SCRBSeq_P1
#SRS5052401	SRR9630219	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189798	NA	Eye	NA	NA	Periph_Nuc_R42_C20	Peripheral	NA	SRP212788_SCRBSeq_P1
#SRS5052400	SRR9630218	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189799	NA	Eye	NA	NA	Periph_Nuc_R42_C19	Peripheral	NA	SRP212788_SCRBSeq_P1
#SRS5052399	SRR9629385	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189028	NA	Eye	NA	NA	Macu_Nuc_R38_C7	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052398	SRR9629384	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189029	NA	Eye	NA	NA	Macu_Nuc_R38_C58	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052397	SRR9629383	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189030	NA	Eye	NA	NA	Macu_Nuc_R38_C55	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052396	SRR9629382	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189031	NA	Eye	NA	NA	Macu_Nuc_R38_C54	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052395	SRR9629381	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189032	NA	Eye	NA	NA	Macu_Nuc_R38_C4	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052394	SRR9629380	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189033	NA	Eye	NA	NA	Macu_Nuc_R38_C49	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052393	SRR9629379	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189034	NA	Eye	NA	NA	Macu_Nuc_R38_C35	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052392	SRR9629378	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12189035	NA	Eye	NA	NA	Macu_Nuc_R38_C32	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052391	SRR9628641	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188765	NA	Eye	NA	NA	Mac1cell_R52_C6	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052390	SRR9628640	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188767	NA	Eye	NA	NA	Mac1cell_R52_C67	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052389	SRR9628639	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188768	NA	Eye	NA	NA	Mac1cell_R52_C65	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052388	SRR9628638	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188769	NA	Eye	NA	NA	Mac1cell_R52_C62	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052387	SRR9628637	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188771	NA	Eye	NA	NA	Mac1cell_R52_C56	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052386	SRR9628636	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188772	NA	Eye	NA	NA	Mac1cell_R52_C55	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052385	SRR9628635	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188774	NA	Eye	NA	NA	Mac1cell_R52_C53	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052384	SRR9628634	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188678	NA	Eye	NA	NA	Mac1cell_R52_C50	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052383	SRR9633540	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12187940	NA	Eye	NA	NA	Mac1cell_R12_C46	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052382	SRR9633539	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12187941	NA	Eye	NA	NA	Mac1cell_R12_C43	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052381	SRR9633538	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12187942	NA	Eye	NA	NA	Mac1cell_R12_C40	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052380	SRR9633537	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12187943	NA	Eye	NA	NA	Mac1cell_R12_C37	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052379	SRR9633536	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12187944	NA	Eye	NA	NA	Mac1cell_R12_C36	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052378	SRR9633535	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12187945	NA	Eye	NA	NA	Mac1cell_R12_C32	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052377	SRR9633534	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12187824	NA	Eye	NA	NA	Mac1cell_R12_C1	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052376	SRR9633533	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12187825	NA	Eye	NA	NA	Mac1cell_R12_C19	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052375	SRR9627841	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188293	NA	Eye	NA	NA	Mac1cell_R31_C37	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052374	SRR9627840	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188295	NA	Eye	NA	NA	Mac1cell_R31_C34	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052373	SRR9627839	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188296	NA	Eye	NA	NA	Mac1cell_R31_C27	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052372	SRR9627838	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188297	NA	Eye	NA	NA	Mac1cell_R31_C18	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052371	SRR9627837	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188299	NA	Eye	NA	NA	Mac1cell_R31_C13	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052370	SRR9627836	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188300	NA	Eye	NA	NA	Mac1cell_R31_C12	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052369	SRR9627835	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188301	NA	Eye	NA	NA	Mac1cell_R30_C8	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052368	SRR9627834	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	P1	Tissue	NA	NA	SAMN12188211	NA	Eye	NA	NA	Mac1cell_R30_C69	NA	NA	SRP212788_SCRBSeq_P1
#SRS5052367	SRR9633066	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201164	NA	Eye	NA	NA	Per_R57_C16	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052366	SRR9633065	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201165	NA	Eye	NA	NA	Per_R57_C15	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052365	SRR9633064	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201166	NA	Eye	NA	NA	Per_R56_C71	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052364	SRR9633063	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201167	NA	Eye	NA	NA	Per_R56_C67	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052363	SRR9633062	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201248	NA	Eye	NA	NA	Per_R56_C65	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052362	SRR9633061	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201249	NA	Eye	NA	NA	Per_R56_C64	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052361	SRR9633060	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201251	NA	Eye	NA	NA	Per_R56_C47	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052359	SRR9633059	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201252	NA	Eye	NA	NA	Per_R56_C43	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052357	SRR9632137	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201676	NA	Eye	NA	NA	Per_R0_C21	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052360	SRR9632136	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201677	NA	Eye	NA	NA	Per_R0_C20	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052358	SRR9632135	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201678	NA	Eye	NA	NA	Mac_R9_C35	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052356	SRR9632134	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201679	NA	Eye	NA	NA	Mac_R9_C2	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052354	SRR9632133	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201680	NA	Eye	NA	NA	Mac_R8_C8	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052353	SRR9632132	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201681	NA	Eye	NA	NA	Mac_R8_C57	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052355	SRR9632131	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201714	NA	Eye	NA	NA	Mac_R8_C32	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052352	SRR9632130	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12201715	NA	Eye	NA	NA	Mac_R7_C52	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052350	SRR9631225	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12200443	NA	Eye	NA	NA	sample_R71_C25	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052351	SRR9631224	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12200444	NA	Eye	NA	NA	sample_R71_C21	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052349	SRR9631223	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12200445	NA	Eye	NA	NA	sample_R71_C17	NA	NA	SRP212788_SCRBSeq_P3
#SRS5052348	SRR9631222	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	P3	Tissue	NA	NA	SAMN12200446	NA	Eye	NA	NA	sample_R71_C13	NA	NA	SRP212788_SCRBSeq_P3
